epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.36001,1.12779,2.0354,1.32331,0.51772,0.7036,0.68293,0.61586,0.64844,1.0698,1.0525,2.499e-05,2.499e-05,2.499e-05
2,4.1908,0.98933,1.90055,1.22157,0.51312,0.68243,0.6097,0.56573,0.63498,1.08052,1.05005,5.63858e-05,5.63858e-05,5.63858e-05
3,4.97316,0.95202,1.46226,1.10895,0.6956,0.68446,0.60678,0.54898,0.64548,1.14053,1.05634,8.55824e-05,8.55824e-05,8.55824e-05
4,5.56849,0.99697,1.58807,1.25005,0.69306,0.63802,0.60106,0.5344,0.67469,1.18691,1.06953,0.00011258,0.00011258,0.00011258
5,6.21151,0.97258,1.40156,1.18202,0.49735,0.66213,0.60221,0.52602,0.70454,1.1088,1.09169,0.000137378,0.000137378,0.000137378
6,7.01422,0.84776,1.12644,1.08718,0.46878,0.64939,0.59668,0.52039,0.71981,1.06581,1.10703,0.000159978,0.000159978,0.000159978
7,7.79245,1.03243,1.34321,1.19531,0.66346,0.49383,0.59041,0.49711,0.74127,0.9789,1.13462,0.000180378,0.000180378,0.000180378
8,8.45111,0.88941,1.19757,1.12716,0.62596,0.51184,0.5638,0.48236,0.73699,0.95557,1.13446,0.000198579,0.000198579,0.000198579
9,9.22435,0.82902,1.12319,1.12614,0.62343,0.53533,0.54857,0.46765,0.73979,0.93437,1.13308,0.000214581,0.000214581,0.000214581
10,9.83933,0.91447,1.03626,1.08495,0.63546,0.54499,0.5423,0.46444,0.73813,0.90731,1.11681,0.000228384,0.000228384,0.000228384
11,10.4644,0.94628,1.22087,1.12041,0.6372,0.57197,0.54589,0.47334,0.70515,0.86772,1.06831,0.000239987,0.000239987,0.000239987
12,11.2624,0.74438,0.90233,0.95806,0.61583,0.59127,0.55101,0.46922,0.69005,0.85008,1.02541,0.000249392,0.000249392,0.000249392
13,11.7598,0.8427,1.01472,1.01401,0.60821,0.61508,0.56107,0.46351,0.66284,0.82704,0.98801,0.000256597,0.000256597,0.000256597
14,12.5191,0.83399,1.04491,1.00491,0.57723,0.64833,0.56654,0.46481,0.62864,0.81582,0.95905,0.000261604,0.000261604,0.000261604
15,13.2301,0.75611,0.9227,0.92639,0.74352,0.54365,0.56795,0.47019,0.59516,0.80087,0.93278,0.000264411,0.000264411,0.000264411
16,13.8646,0.83269,0.94527,0.98014,0.74352,0.54365,0.56795,0.47019,0.59516,0.80087,0.93278,0.000265019,0.000265019,0.000265019
17,14.6387,0.70859,0.83764,0.93966,0.55727,0.70635,0.57922,0.48451,0.58396,0.78671,0.9194,0.000263428,0.000263428,0.000263428
18,15.2008,0.77548,0.96445,0.9843,0.56319,0.71032,0.58544,0.48628,0.59303,0.78396,0.91295,0.000259638,0.000259638,0.000259638
19,15.8918,0.73244,0.89993,0.9464,0.56319,0.71032,0.58544,0.48628,0.59303,0.78396,0.91295,0.000253648,0.000253648,0.000253648
20,16.7199,0.70815,0.87374,0.9599,0.57582,0.71429,0.59255,0.48755,0.60135,0.77919,0.91291,0.00024546,0.00024546,0.00024546
21,21.4774,0.70968,0.90832,0.94981,0.58912,0.71032,0.6078,0.4987,0.61535,0.78058,0.92071,0.000235073,0.000235073,0.000235073
22,22.2571,0.71691,0.9147,0.93421,0.58912,0.71032,0.6078,0.4987,0.61535,0.78058,0.92071,0.000222486,0.000222486,0.000222486
23,22.7662,0.6716,0.86611,0.953,0.62625,0.69841,0.62796,0.5104,0.61075,0.76729,0.91853,0.0002077,0.0002077,0.0002077
24,23.5471,0.6662,0.86843,0.91128,0.62625,0.69841,0.62796,0.5104,0.61075,0.76729,0.91853,0.000190715,0.000190715,0.000190715
25,24.098,0.66922,0.85341,0.913,0.65972,0.68651,0.64006,0.52373,0.59659,0.75168,0.91388,0.000171531,0.000171531,0.000171531
26,24.9273,0.6632,0.89841,0.94173,0.65972,0.68651,0.64006,0.52373,0.59659,0.75168,0.91388,0.000145775,0.000145775,0.000145775
27,25.4644,0.6853,0.85221,0.9583,0.66931,0.67857,0.64538,0.52662,0.58407,0.73706,0.91098,0.000118286,0.000118286,0.000118286
28,26.3258,0.6314,0.83867,0.92018,0.66931,0.67857,0.64538,0.52662,0.58407,0.73706,0.91098,9.0797e-05,9.0797e-05,9.0797e-05
29,26.8631,0.682,0.84797,0.92936,0.68335,0.67738,0.64646,0.53021,0.5755,0.72733,0.9076,6.3308e-05,6.3308e-05,6.3308e-05
30,27.5435,0.63799,0.80901,0.9156,0.68335,0.67738,0.64646,0.53021,0.5755,0.72733,0.9076,3.5819e-05,3.5819e-05,3.5819e-05
