epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.10682,1.29161,2.31752,1.43041,0.61182,0.70635,0.69219,0.62842,0.65598,1.05778,1.04861,2.499e-05,2.499e-05,2.499e-05
2,3.95638,1.12988,1.87807,1.36723,0.67705,0.69048,0.61377,0.55643,0.67009,1.08002,1.04914,5.75884e-05,5.75884e-05,5.75884e-05
3,4.80699,1.01328,1.47926,1.15241,0.69641,0.62991,0.60577,0.54182,0.68669,1.21797,1.03908,8.93622e-05,8.93622e-05,8.93622e-05
4,5.73961,1.00535,1.62044,1.24467,0.47597,0.64977,0.58153,0.50021,0.7525,1.28776,1.05182,0.000120311,0.000120311,0.000120311
5,6.55856,0.95199,1.35648,1.1109,0.88177,0.46184,0.59133,0.49839,0.83719,1.10377,1.10635,0.000150436,0.000150436,0.000150436
6,7.53988,0.83131,1.00115,1.03049,0.83426,0.50359,0.66593,0.53954,0.87397,1.05475,1.1258,0.000179735,0.000179735,0.000179735
7,8.34862,0.98535,1.1829,1.12038,0.58101,0.52936,0.58966,0.47832,0.87218,1.0417,1.10391,0.00020821,0.00020821,0.00020821
8,9.04411,0.83849,1.01419,1.03705,0.5387,0.59657,0.52848,0.41746,0.80115,1.06095,1.03775,0.000235861,0.000235861,0.000235861
9,9.88206,0.76965,0.92105,1.02467,0.52215,0.663,0.53414,0.4115,0.7175,1.04322,0.96485,0.000262687,0.000262687,0.000262687
10,10.5333,0.80083,0.86703,0.93586,0.60748,0.54762,0.54462,0.42849,0.66925,0.97592,0.93262,0.000288688,0.000288688,0.000288688
11,11.2546,0.7993,0.9547,0.95209,0.68641,0.55159,0.57589,0.45167,0.68128,0.93698,0.93588,0.000313864,0.000313864,0.000313864
12,12.2308,0.75558,0.78332,0.93441,0.63576,0.57937,0.62013,0.47586,0.68932,0.9201,0.94059,0.000338216,0.000338216,0.000338216
13,12.8343,0.81919,0.90849,0.97961,0.48618,0.7053,0.6418,0.49014,0.69086,0.88213,0.94079,0.000361743,0.000361743,0.000361743
14,13.6295,0.79448,0.91488,0.95364,0.70503,0.69048,0.63555,0.50194,0.67303,0.77972,0.92348,0.000384445,0.000384445,0.000384445
15,14.5015,0.77654,0.84792,0.92222,0.71965,0.71341,0.62903,0.50207,0.65578,0.72755,0.91069,0.000406323,0.000406323,0.000406323
16,15.0792,0.76758,0.77446,0.93606,0.71965,0.71341,0.62903,0.50207,0.65578,0.72755,0.91069,0.000427376,0.000427376,0.000427376
17,15.922,0.68863,0.71353,0.90746,0.7038,0.71032,0.63096,0.50788,0.64258,0.71291,0.91324,0.000447604,0.000447604,0.000447604
18,16.7073,0.75208,0.82747,0.96358,0.71025,0.74591,0.67436,0.54576,0.61483,0.68199,0.91553,0.000467008,0.000467008,0.000467008
19,17.3864,0.68144,0.74082,0.91111,0.71025,0.74591,0.67436,0.54576,0.61483,0.68199,0.91553,0.000485587,0.000485587,0.000485587
20,18.3057,0.67797,0.76756,0.923,0.79887,0.65851,0.67416,0.56153,0.5918,0.6338,0.91513,0.000503341,0.000503341,0.000503341
21,19.1438,0.73834,0.77964,0.93046,0.65354,0.64668,0.67762,0.55531,0.59974,0.61139,0.91304,0.000520271,0.000520271,0.000520271
22,19.8502,0.61962,0.6636,0.88421,0.65354,0.64668,0.67762,0.55531,0.59974,0.61139,0.91304,0.000536376,0.000536376,0.000536376
23,20.6073,0.6891,0.75008,0.90451,0.62521,0.65977,0.68384,0.55095,0.61295,0.63439,0.91901,0.000551656,0.000551656,0.000551656
24,21.4528,0.67759,0.721,0.87922,0.62521,0.65977,0.68384,0.55095,0.61295,0.63439,0.91901,0.000566112,0.000566112,0.000566112
25,22.0521,0.64213,0.6804,0.92636,0.57356,0.7591,0.69305,0.56537,0.61012,0.60682,0.91076,0.000579743,0.000579743,0.000579743
26,22.9282,0.68596,0.71152,0.90943,0.57356,0.7591,0.69305,0.56537,0.61012,0.60682,0.91076,0.000575291,0.000575291,0.000575291
27,23.7023,0.67727,0.71318,0.87231,0.59759,0.72391,0.72013,0.60871,0.56692,0.55374,0.88278,0.000564982,0.000564982,0.000564982
28,24.3331,0.65764,0.62913,0.90025,0.59759,0.72391,0.72013,0.60871,0.56692,0.55374,0.88278,0.000554674,0.000554674,0.000554674
29,25.2017,0.68997,0.70666,0.92577,0.60302,0.75426,0.71002,0.60975,0.56423,0.53708,0.88146,0.000544365,0.000544365,0.000544365
30,26.1173,0.61342,0.60897,0.87696,0.60302,0.75426,0.71002,0.60975,0.56423,0.53708,0.88146,0.000534057,0.000534057,0.000534057
31,26.7415,0.58231,0.63163,0.87245,0.58763,0.73087,0.71152,0.60017,0.57854,0.54699,0.89569,0.000523749,0.000523749,0.000523749
32,27.523,0.56067,0.55375,0.85455,0.58763,0.73087,0.71152,0.60017,0.57854,0.54699,0.89569,0.00051344,0.00051344,0.00051344
33,28.4856,0.55643,0.58288,0.87138,0.77839,0.78384,0.79505,0.63853,0.5389,0.53222,0.88857,0.000503132,0.000503132,0.000503132
34,29.1193,0.65898,0.6228,0.872,0.77839,0.78384,0.79505,0.63853,0.5389,0.53222,0.88857,0.000492824,0.000492824,0.000492824
35,29.8337,0.63372,0.60087,0.85788,0.75888,0.80342,0.90133,0.71517,0.46182,0.50569,0.86772,0.000482515,0.000482515,0.000482515
36,30.7132,0.60048,0.62295,0.8812,0.75888,0.80342,0.90133,0.71517,0.46182,0.50569,0.86772,0.000472207,0.000472207,0.000472207
37,31.511,0.56467,0.62066,0.87455,0.75046,0.80447,0.90314,0.70683,0.43979,0.49676,0.86043,0.000461898,0.000461898,0.000461898
38,32.0557,0.53939,0.59697,0.87557,0.75046,0.80447,0.90314,0.70683,0.43979,0.49676,0.86043,0.00045159,0.00045159,0.00045159
39,32.8328,0.57189,0.57999,0.89115,0.86996,0.71507,0.91434,0.73185,0.45177,0.48426,0.86306,0.000441282,0.000441282,0.000441282
40,33.4069,0.58578,0.57021,0.87382,0.86996,0.71507,0.91434,0.73185,0.45177,0.48426,0.86306,0.000430973,0.000430973,0.000430973
41,34.0031,0.63813,0.62084,0.8588,0.86363,0.71226,0.92924,0.72348,0.44455,0.47306,0.85768,0.000420665,0.000420665,0.000420665
42,34.814,0.53283,0.54714,0.85398,0.86363,0.71226,0.92924,0.72348,0.44455,0.47306,0.85768,0.000410357,0.000410357,0.000410357
43,35.6411,0.59583,0.58077,0.88177,0.86463,0.77012,0.93329,0.72761,0.45744,0.46089,0.85541,0.000400048,0.000400048,0.000400048
44,36.2806,0.52789,0.54211,0.8452,0.86463,0.77012,0.93329,0.72761,0.45744,0.46089,0.85541,0.00038974,0.00038974,0.00038974
45,36.9578,0.60007,0.60183,0.85462,0.84133,0.79186,0.9325,0.72795,0.46103,0.44894,0.8546,0.000379431,0.000379431,0.000379431
46,37.7857,0.53754,0.57286,0.88218,0.84133,0.79186,0.9325,0.72795,0.46103,0.44894,0.8546,0.000369123,0.000369123,0.000369123
47,38.5998,0.53394,0.54089,0.84958,0.83338,0.79513,0.93583,0.71813,0.44774,0.44493,0.85378,0.000358815,0.000358815,0.000358815
48,39.4302,0.60428,0.61127,0.88496,0.83338,0.79513,0.93583,0.71813,0.44774,0.44493,0.85378,0.000348506,0.000348506,0.000348506
49,39.986,0.54373,0.52159,0.85275,0.84553,0.79219,0.93998,0.72274,0.42871,0.44382,0.84795,0.000338198,0.000338198,0.000338198
50,40.691,0.46434,0.52357,0.85583,0.84553,0.79219,0.93998,0.72274,0.42871,0.44382,0.84795,0.00032789,0.00032789,0.00032789
51,41.4751,0.60796,0.59908,0.8666,0.85258,0.78727,0.80065,0.71127,0.42511,0.4412,0.84769,0.000317581,0.000317581,0.000317581
52,42.1309,0.54463,0.57447,0.86311,0.85258,0.78727,0.80065,0.71127,0.42511,0.4412,0.84769,0.000307273,0.000307273,0.000307273
53,42.7951,0.53708,0.53836,0.8461,0.87315,0.78968,0.80524,0.71084,0.4325,0.43112,0.85167,0.000296964,0.000296964,0.000296964
54,43.5385,0.55143,0.52497,0.85817,0.87315,0.78968,0.80524,0.71084,0.4325,0.43112,0.85167,0.000286656,0.000286656,0.000286656
55,44.2423,0.53405,0.55319,0.86298,0.88222,0.78908,0.95504,0.74078,0.43389,0.42092,0.85244,0.000276348,0.000276348,0.000276348
56,44.8208,0.58048,0.60152,0.87526,0.88222,0.78908,0.95504,0.74078,0.43389,0.42092,0.85244,0.000266039,0.000266039,0.000266039
57,45.6673,0.54541,0.53224,0.8569,0.91081,0.76447,0.95671,0.74814,0.41883,0.41326,0.84875,0.000255731,0.000255731,0.000255731
58,46.3984,0.50677,0.50803,0.83432,0.91081,0.76447,0.95671,0.74814,0.41883,0.41326,0.84875,0.000245423,0.000245423,0.000245423
59,47.0242,0.5541,0.52317,0.88779,0.9267,0.77034,0.95916,0.75591,0.41328,0.40291,0.84667,0.000235114,0.000235114,0.000235114
60,47.7566,0.53222,0.46942,0.85211,0.9267,0.77034,0.95916,0.75591,0.41328,0.40291,0.84667,0.000224806,0.000224806,0.000224806
61,48.6114,0.49947,0.49042,0.84344,0.94692,0.77253,0.95936,0.75752,0.41502,0.39533,0.84565,0.000214497,0.000214497,0.000214497
62,49.3749,0.55437,0.46452,0.85658,0.94692,0.77253,0.95936,0.75752,0.41502,0.39533,0.84565,0.000204189,0.000204189,0.000204189
63,49.9845,0.4741,0.48156,0.8489,0.9127,0.78175,0.96008,0.76013,0.4197,0.39276,0.84475,0.000193881,0.000193881,0.000193881
64,50.6356,0.49052,0.44739,0.83551,0.9127,0.78175,0.96008,0.76013,0.4197,0.39276,0.84475,0.000183572,0.000183572,0.000183572
65,51.4987,0.47666,0.48522,0.83977,0.89911,0.79083,0.96105,0.7594,0.43865,0.39931,0.8481,0.000173264,0.000173264,0.000173264
66,52.0949,0.57618,0.53832,0.84879,0.89911,0.79083,0.96105,0.7594,0.43865,0.39931,0.8481,0.000162956,0.000162956,0.000162956
67,52.9481,0.51573,0.51667,0.85137,0.90715,0.79365,0.96165,0.75882,0.44456,0.39891,0.84987,0.000152647,0.000152647,0.000152647
68,53.839,0.49466,0.50753,0.83774,0.90715,0.79365,0.96165,0.75882,0.44456,0.39891,0.84987,0.000142339,0.000142339,0.000142339
69,54.5628,0.50488,0.45648,0.8824,0.89748,0.79092,0.96127,0.75957,0.43207,0.39331,0.84685,0.000132031,0.000132031,0.000132031
70,55.2516,0.48042,0.48575,0.82548,0.89748,0.79092,0.96127,0.75957,0.43207,0.39331,0.84685,0.000121722,0.000121722,0.000121722
71,59.5178,0.49832,0.46942,0.82271,0.85107,0.77778,0.95448,0.75949,0.41544,0.38608,0.84329,0.000111414,0.000111414,0.000111414
72,60.273,0.49739,0.525,0.84394,0.85107,0.77778,0.95448,0.75949,0.41544,0.38608,0.84329,0.000101105,0.000101105,0.000101105
73,61.0628,0.46279,0.47533,0.8291,0.82553,0.78672,0.95695,0.77792,0.40194,0.38429,0.84154,9.0797e-05,9.0797e-05,9.0797e-05
74,61.8809,0.4522,0.48432,0.85873,0.82553,0.78672,0.95695,0.77792,0.40194,0.38429,0.84154,8.04886e-05,8.04886e-05,8.04886e-05
75,62.7583,0.47071,0.46252,0.85122,0.82575,0.7895,0.95454,0.77617,0.39553,0.38374,0.84151,7.01802e-05,7.01802e-05,7.01802e-05
76,63.34,0.45063,0.44223,0.84009,0.82575,0.7895,0.95454,0.77617,0.39553,0.38374,0.84151,5.98719e-05,5.98719e-05,5.98719e-05
77,64.1966,0.46487,0.45794,0.86785,0.83067,0.79228,0.95065,0.77242,0.39483,0.37989,0.84237,4.95635e-05,4.95635e-05,4.95635e-05
78,65.002,0.44089,0.44605,0.83119,0.83067,0.79228,0.95065,0.77242,0.39483,0.37989,0.84237,3.92551e-05,3.92551e-05,3.92551e-05
79,65.7889,0.46115,0.45737,0.82376,0.83673,0.79742,0.94227,0.77852,0.39364,0.38032,0.84267,2.89468e-05,2.89468e-05,2.89468e-05
80,66.4318,0.47116,0.43273,0.83702,0.83673,0.79742,0.94227,0.77852,0.39364,0.38032,0.84267,1.86384e-05,1.86384e-05,1.86384e-05
